x,y,z,tempo
-7.8829093,-4.0203137,4.403835,10119
-8.286332,-3.8964136,3.831022,10321
-8.93935,-3.3738792,3.8795047,10519
-8.881291,-2.7890954,3.498228,10725
-8.940548,-2.7914896,2.2993314,10923
-9.359533,-2.7633576,2.2993314,11118
-10.447099,-0.48647186,1.1495161,11320
-9.703699,-0.057311203,1.8516158,11522
-7.489063,-0.8892963,2.6105776,11727
-8.968679,-1.3962685,2.1209633,11920
-8.743026,-1.8272249,1.0717045,12122
-10.684724,-1.8332103,-0.3672107,12320
-9.181165,-2.1899464,-0.45459905,12521
-9.337985,-2.4024317,-1.3021464,12722
-8.8328085,-1.5093945,-4.0303392,12926
-8.028955,-1.2059295,-5.605724,13119
-6.6103907,-0.6546645,-7.3157825,13322
-5.9998693,-0.6522703,-7.82874,13521
-6.0507464,-0.6037877,-7.7311764,13721
-5.9867015,-0.6211457,-7.6114664,13922
-6.2195373,-0.6947674,-7.665336,14121
-6.559514,-0.86116445,-7.232584,14321
-6.393117,-0.8013094,-7.5168953,14524
-6.2315083,-0.7875427,-7.6437883,14721
-6.453571,-0.8384195,-7.394791,14921
-6.5720835,-0.85458034,-7.279271,15124
-6.482301,-0.82704705,-7.358878,15322
-6.3865333,-0.820463,-7.4983406,15522
-6.401497,-0.7899369,-7.4612303,15729
-6.4619503,-0.820463,-7.4265146,15922
-6.498462,-0.8467992,-7.406762,16122
-6.770204,-0.95274264,-7.152977,16325
-7.2448545,-1.1634324,-6.6118875,16524
-7.717709,-1.4585178,-5.9486933,16722
-8.26658,-1.7242742,-5.0867805,16929
-8.813655,-1.8924668,-4.1207204,17123
-9.150639,-1.8631378,-3.1803977,17323
-9.367314,-2.1498435,-2.110788,17522
-10.181941,-2.133084,-1.1339538,17722
-9.857527,-1.6656162,0.63057286,17923
-9.653421,-1.5896003,1.4266449,18125
-9.089587,-0.89947164,2.2191257,18326
-9.106346,-1.3459903,2.1981764,18522
-9.438541,-1.5746366,1.9455881,18727
-10.5680065,-0.5900211,1.8809447,18926
-9.937733,0.21502924,2.7662008,19125
-8.520366,0.51669866,1.8456303,19328
-8.325238,2.5822961,1.5439608,19525
-11.095329,0.3808277,3.2288802,19725
-6.575675,1.4432547,2.3831284,19928
-7.753622,-0.76180506,3.992032,20121
-8.4425535,0.06479308,3.9686885,20326
-9.033921,-0.096815534,4.217087,20516
-8.085219,-0.40447044,4.9419317,20723
-7.7464395,-1.0790368,5.8373632,20926
-7.4226236,-1.3986627,6.1162877,21128
-6.605004,-1.4351742,6.802226,21328
-6.3392477,-1.8356045,7.3199725,21527
-6.137536,-1.925387,7.569568,21737
-5.9825115,-1.735048,7.38701,21926
-5.799355,-2.2773347,7.7581115,22129
-4.4873323,-2.605939,8.275259,22330
-1.6232687,-2.9255648,8.32853,22528
-2.1039047,-3.343353,9.004891,22728
-1.620276,-2.9722517,9.208399,22927
-1.1587936,-2.5143607,9.184457,23127
-0.093972415,-2.9327474,9.520843,23328
1.8405426,-3.4666545,9.113828,23531
1.6723499,-3.153014,9.095872,23728
2.0649989,-2.9836242,9.172486,23929
1.501763,-2.6436477,9.192837,24119
1.9949685,-2.4718635,9.134777,24328
2.143409,-2.5161564,9.221567,24530
2.0374656,-2.429965,9.144354,24731
2.15957,-2.3162405,9.128792,24929
2.3211784,-2.3294086,8.930073,25128
2.4301147,-2.4054246,9.30297,25331
2.5115175,-2.641852,8.981548,25529
2.542642,-2.7214592,9.094076,25730
2.130241,-2.9752445,9.125799,25932
1.5921441,-2.8698997,9.285612,26128
1.6256629,-3.1320648,9.124602,26327
1.965041,-3.0392895,9.082704,26532
2.0386627,-2.993201,9.071331,26738
2.0733786,-2.9501054,9.124602,26931
1.9315223,-3.051859,9.15453,27132
1.8854338,-2.969259,9.089288,27330
2.0482395,-3.0356982,9.064747,27531
1.8614918,-3.0536547,9.114427,27732
2.0093338,-2.9818287,9.098865,27933
1.9177556,-3.1518168,9.041404,28131
1.7705121,-3.1326632,9.089288,28335
1.6502035,-3.1314662,9.131784,28531
1.5622166,-3.158401,9.127595,28731
1.4101849,-3.164985,9.186253,28936
1.1522095,-3.1506197,9.184457,29131
